# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = 8.13 usec; Calculated Bandwidth = 3451.849 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,8.05,0.0,13.034,0.0
1,1000,8.14,0.12,13.035,0.077
2,1000,8.13,0.25,13.035,0.153
4,1000,8.17,0.49,13.035,0.307
8,1000,8.16,0.98,13.037,0.614
16,1000,8.15,1.96,13.039,1.227
32,1000,8.19,3.91,13.044,2.453
64,1000,8.18,7.82,13.053,4.903
128,1000,8.55,14.98,13.071,9.792
256,1000,8.55,29.94,13.108,19.529
512,1000,8.59,59.62,13.183,38.839
1024,1000,9.7,105.54,13.331,76.814
2048,1000,9.17,223.4,13.628,150.284
4096,1000,11.1,369.05,14.221,288.027
8192,1000,11.74,697.75,15.407,531.69
16384,1000,15.89,1031.26,17.781,921.448
32768,1000,26.27,1247.43,22.527,1454.601
65536,640,57.78,1134.25,32.02,2046.719
131072,320,78.96,1659.94,51.006,2569.747
262144,160,113.73,2304.89,88.977,2946.189
524288,80,174.81,2999.13,164.92,3179.037
1048576,40,305.05,3437.38,316.807,3309.831
2097152,20,601.31,3487.62,620.579,3379.349
4194304,10,1236.63,3391.71,1228.123,3415.214
